event_type,event_type_name,expected_participants,duration_hours,prize_pool,refreshments_needed,stationary_needed,goodies_needed,physical_certificate,trophies_needed,volunteers_needed,rooms_needed,refreshment_item_count,stationery_item_count,expense_refreshments,expense_stationery,expense_certificates,expense_goodies,expense_trophies,expense_other,total_expense
4,Workshop,52,3,0,1,1,0,1,0,2,1,1,2,854,2993,780,0,0,8025,12652
4,Workshop,84,4,0,1,1,0,1,0,4,2,4,1,9804,2308,1020,0,0,5331,18463
1,Technical,58,4,0,1,1,1,0,0,4,1,3,2,5307,607,0,2895,0,6971,15780
3,Seminar,97,2,0,1,0,0,0,0,4,2,3,0,3639,0,0,0,0,2309,5948
4,Workshop,67,4,0,1,1,0,1,0,4,1,3,5,7077,3386,724,0,0,8081,19268
0,Non-Technical,147,2,20000,1,1,1,0,1,7,4,2,1,3618,1035,0,2013,2090,3197,11953
1,Technical,154,3,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,9420,9420
0,Non-Technical,210,2,0,0,0,0,1,0,10,4,0,0,0,0,2264,0,0,3658,5922
0,Non-Technical,171,2,20000,0,0,1,1,1,8,4,0,0,0,0,1886,2337,2221,11779,18223
2,Hackathon,59,4,0,1,1,1,1,0,4,1,1,3,459,2436,625,3123,0,8923,15566
4,Workshop,50,5,0,1,1,1,0,0,3,1,2,1,4619,582,0,2921,0,6899,15021
1,Technical,200,1,0,1,1,0,1,0,8,3,2,2,4825,1424,2394,0,0,7141,15784
4,Workshop,52,2,0,1,0,0,0,0,5,1,1,0,1188,0,0,0,0,5087,6275
4,Workshop,92,4,0,1,1,1,1,0,8,1,3,3,8380,4283,1151,7714,0,8073,29601
2,Hackathon,55,4,3000,0,1,0,1,1,2,1,0,2,0,2674,810,0,4589,6842,14915
4,Workshop,95,4,0,0,1,0,1,0,5,1,0,4,0,4342,908,0,0,6958,12208
4,Workshop,89,2,0,1,1,1,1,0,4,2,3,5,3945,4962,1295,6827,0,9528,26557
4,Workshop,81,4,0,1,0,1,1,0,4,1,1,0,4778,0,944,6091,0,9832,21645
3,Seminar,204,3,0,1,0,0,1,0,13,6,1,0,2697,0,1865,0,0,14277,18839
3,Seminar,243,3,0,1,0,0,1,0,18,6,3,0,11030,0,3469,0,0,10658,25157
2,Hackathon,91,8,20000,1,0,1,0,1,8,1,3,0,8333,0,0,1442,2395,4588,16758
4,Workshop,83,4,0,0,1,0,0,0,8,2,0,2,0,1096,0,0,0,6467,7563
0,Non-Technical,242,3,5000,1,1,0,0,1,10,6,2,2,6990,2507,0,0,1625,11778,22900
2,Hackathon,121,4,0,1,1,0,1,0,4,2,2,5,3698,5999,1189,0,0,9160,20046
3,Seminar,272,3,0,1,1,0,1,0,11,8,3,2,8966,12087,3059,0,0,11073,35185
4,Workshop,37,2,0,1,0,0,0,0,2,1,1,0,702,0,0,0,0,5291,5993
1,Technical,63,3,1000,1,1,1,1,1,3,1,3,1,2115,252,768,884,1442,8852,14313
1,Technical,200,4,0,1,1,1,1,0,16,3,4,4,17792,3700,2980,9835,0,12681,46988
0,Non-Technical,56,4,0,0,1,1,0,0,3,1,0,2,0,854,0,1822,0,7367,10043
1,Technical,44,2,7000,1,1,0,1,1,2,1,4,4,2287,1125,644,0,1497,7225,12778
1,Technical,184,4,0,1,0,0,1,0,13,4,3,0,7811,0,2231,0,0,7423,17465
3,Seminar,179,2,0,1,1,0,1,0,11,3,1,5,1135,8944,1912,0,0,6464,18455
1,Technical,64,1,2000,1,0,0,1,1,2,1,3,0,2524,0,815,0,3419,10792,17550
3,Seminar,203,2,0,1,1,0,1,0,11,5,1,1,2334,1506,2173,0,0,12024,18037
4,Workshop,27,3,0,1,1,1,1,0,2,1,2,2,694,1627,459,986,0,7222,10988
0,Non-Technical,224,3,0,1,1,1,1,0,14,4,4,5,11461,9998,2138,4471,0,6113,34181
3,Seminar,132,2,0,1,1,0,1,0,6,3,1,3,1970,5559,1862,0,0,11353,20744
1,Technical,57,3,3000,1,0,0,1,0,3,1,1,0,727,0,664,0,0,4247,5638
4,Workshop,79,5,0,1,1,0,0,0,5,1,2,2,2323,2808,0,0,0,5114,10245
3,Seminar,215,1,0,1,0,0,1,0,17,5,2,0,7105,0,2978,0,0,5776,15859
0,Non-Technical,73,2,15000,1,0,1,1,1,6,2,1,0,1037,0,972,1614,2350,8500,14473
2,Hackathon,64,5,10000,1,0,0,0,1,3,1,4,0,6304,0,0,0,3994,9091,19389
1,Technical,87,1,5000,0,1,0,1,1,4,2,0,2,0,3385,1100,0,2319,3932,10736
2,Hackathon,144,4,0,0,1,1,1,0,12,4,0,5,0,8220,1469,2806,0,8478,20973
3,Seminar,260,1,0,1,1,0,0,0,10,8,1,1,2381,2439,0,0,0,3940,8760
0,Non-Technical,101,2,20000,1,1,0,1,1,4,1,4,2,5893,1382,1733,0,1707,8155,18870
4,Workshop,30,3,0,1,0,0,1,0,2,1,2,0,1035,0,531,0,0,2514,4080
3,Seminar,298,3,0,1,0,0,1,0,29,7,1,0,4287,0,3235,0,0,6716,14238
3,Seminar,220,3,0,1,1,1,0,0,12,3,1,5,3625,9824,0,11793,0,5429,30671
4,Workshop,49,2,0,0,1,1,1,0,2,1,0,5,0,3015,789,4175,0,10565,18544
3,Seminar,152,1,0,1,0,0,0,0,12,2,2,0,3983,0,0,0,0,8212,12195
1,Technical,193,4,20000,1,0,1,1,0,16,4,3,0,6544,0,3011,13506,0,8358,31419
4,Workshop,58,3,0,1,0,1,1,0,2,1,3,0,2539,0,731,3824,0,9863,16957
2,Hackathon,43,4,7000,1,1,0,1,0,2,1,2,1,3981,938,729,0,0,6620,12268
3,Seminar,69,1,0,1,0,1,1,0,4,1,4,0,3520,0,1098,4674,0,6428,15720
1,Technical,197,4,20000,1,0,0,1,1,16,4,4,0,17720,0,1829,0,4570,7501,31620
3,Seminar,179,2,0,1,1,0,0,0,9,4,3,3,5807,7714,0,0,0,14392,27913
4,Workshop,89,5,0,1,1,1,1,0,5,1,4,2,8487,3850,891,3972,0,7735,24935
3,Seminar,120,2,0,1,0,0,1,0,6,3,4,0,5037,0,1389,0,0,6732,13158
1,Technical,87,1,0,1,1,0,0,0,4,1,4,1,5070,3147,0,0,0,6504,14721
1,Technical,125,3,20000,1,0,1,1,0,12,2,3,0,4791,0,1618,2014,0,5598,14021
0,Non-Technical,101,4,0,1,0,1,0,0,4,2,1,0,7714,0,0,5075,0,13012,25801
3,Seminar,68,2,0,0,1,0,0,0,6,1,0,1,0,712,0,0,0,10520,11232
2,Hackathon,33,4,0,1,0,0,1,0,2,1,3,0,1265,0,473,0,0,7380,9118
1,Technical,105,4,2000,1,0,1,0,1,5,2,3,0,10504,0,0,2682,3847,9878,26911
0,Non-Technical,146,3,0,1,0,0,1,0,12,4,4,0,6329,0,1404,0,0,8277,16010
0,Non-Technical,40,3,3000,0,0,0,1,1,2,1,0,0,0,0,581,0,1881,6782,9244
1,Technical,92,1,1000,1,1,0,0,1,4,2,1,5,653,4658,0,0,5373,6985,17669
0,Non-Technical,75,2,0,1,1,1,1,0,3,2,3,1,2308,437,1296,4500,0,8880,17421
1,Technical,37,2,10000,1,1,1,0,1,2,1,1,2,563,636,0,2831,3675,8914,16619
2,Hackathon,90,7,3000,1,0,0,1,0,3,1,2,0,15097,0,947,0,0,3554,19598
0,Non-Technical,127,3,3000,1,0,0,0,1,7,4,3,0,5477,0,0,0,1665,8053,15195
4,Workshop,31,5,0,1,0,0,1,0,2,1,1,0,719,0,453,0,0,8643,9815
1,Technical,36,4,0,1,1,0,1,0,3,1,4,4,1652,2015,522,0,0,8882,13071
1,Technical,72,2,3000,0,1,0,1,1,3,1,0,5,0,4092,776,0,4726,6351,15945
0,Non-Technical,238,2,5000,1,1,0,0,1,10,7,3,1,9149,2313,0,0,1385,7595,20442
0,Non-Technical,197,4,0,0,0,1,1,0,8,5,0,0,0,0,2574,9628,0,4960,17162
1,Technical,31,3,15000,1,0,1,1,1,2,1,2,0,973,0,430,2624,2037,8442,14506
1,Technical,105,2,10000,1,1,0,1,1,9,2,4,1,5170,677,1406,0,3922,4178,15353
1,Technical,60,3,10000,1,0,0,1,1,5,1,4,0,3325,0,749,0,1774,8075,13923
0,Non-Technical,114,1,5000,1,1,0,1,1,11,2,1,5,1867,4659,1072,0,2253,9551,19402
1,Technical,178,2,0,1,0,0,1,0,13,3,1,0,4030,0,2505,0,0,3391,9926
4,Workshop,79,5,0,1,1,0,1,0,4,1,4,5,8650,4155,933,0,0,6260,19998
2,Hackathon,135,7,7000,1,0,0,1,1,7,2,1,0,18371,0,2040,0,1475,8523,30409
4,Workshop,77,3,0,1,1,0,0,0,3,1,3,5,2670,3219,0,0,0,8596,14485
2,Hackathon,78,6,10000,1,1,1,1,1,4,2,2,2,15645,2903,951,6661,2040,3911,32111
1,Technical,17,2,7000,1,0,1,0,1,2,1,3,0,1018,0,0,1710,3753,4851,11332
0,Non-Technical,43,4,0,0,0,1,1,0,2,1,0,0,0,0,714,3921,0,7134,11769
1,Technical,101,1,7000,1,0,0,1,1,5,1,3,0,4795,0,1086,0,1530,9951,17362
3,Seminar,292,2,0,1,1,0,1,0,29,7,3,2,10354,4378,3642,0,0,7501,25875
1,Technical,55,3,5000,1,0,0,0,1,2,1,2,0,1580,0,0,0,5019,4570,11169
2,Hackathon,199,6,0,1,1,1,1,0,15,5,1,1,11494,1385,2053,12697,0,6076,33705
4,Workshop,81,3,0,1,1,0,0,0,3,2,4,3,3373,1494,0,0,0,2459,7326
0,Non-Technical,76,4,0,1,0,0,1,0,3,1,2,0,5936,0,847,0,0,5557,12340
1,Technical,60,2,0,1,0,0,0,0,3,1,4,0,3192,0,0,0,0,9160,12352
0,Non-Technical,155,4,0,1,0,0,1,0,14,3,3,0,16477,0,2345,0,0,3804,22626
3,Seminar,144,3,0,0,1,1,1,0,6,3,0,1,0,768,1914,3575,0,8896,15153
2,Hackathon,173,6,5000,1,1,0,0,0,9,5,4,4,40361,7085,0,0,0,4791,52237
1,Technical,18,2,0,1,1,1,1,0,2,1,3,4,965,1719,297,794,0,8211,11986
2,Hackathon,186,8,15000,1,0,0,1,0,14,3,1,0,11476,0,2045,0,0,12087,25608
0,Non-Technical,203,4,2000,1,1,1,0,1,11,4,3,5,8079,8090,0,3938,4862,5879,30848
2,Hackathon,74,7,3000,1,0,0,1,1,4,2,4,0,13127,0,874,0,3955,6457,24413
4,Workshop,63,5,0,1,1,0,0,0,3,1,1,1,5566,2584,0,0,0,3688,11838
0,Non-Technical,229,2,20000,1,0,0,0,1,11,4,3,0,7675,0,0,0,1452,6212,15339
4,Workshop,100,3,0,1,1,0,1,0,7,2,4,4,5042,5102,1501,0,0,6081,17726
4,Workshop,83,3,0,1,1,0,1,0,3,1,4,5,3377,3981,861,0,0,9782,18001
1,Technical,100,3,5000,1,1,1,1,1,10,2,4,2,4127,1474,1313,6734,2109,4936,20693
0,Non-Technical,221,1,0,1,0,0,0,0,20,6,3,0,8401,0,0,0,0,5220,13621
1,Technical,25,3,2000,0,1,1,1,1,2,1,0,2,0,522,362,666,1744,5339,8633
2,Hackathon,66,5,5000,1,0,0,1,1,6,2,2,0,5666,0,684,0,4331,7813,18494
0,Non-Technical,187,4,1000,1,1,1,1,1,15,3,4,4,21192,6494,1904,13218,1843,4530,49181
4,Workshop,64,2,0,1,1,1,1,0,3,1,1,2,985,2222,626,4786,0,5505,14124
2,Hackathon,88,6,20000,1,1,0,1,1,3,2,3,4,12730,4470,781,0,5208,6174,29363
3,Seminar,116,2,0,1,1,0,0,0,6,2,2,2,3068,1355,0,0,0,10948,15371
2,Hackathon,194,4,0,1,1,1,1,0,13,3,2,5,19294,8979,2422,12754,0,8016,51465
1,Technical,66,2,10000,1,1,1,0,0,3,2,4,4,3208,2809,0,3638,0,6538,16193
3,Seminar,276,2,0,0,1,0,1,0,14,6,0,4,0,15207,2634,0,0,9486,27327
0,Non-Technical,216,1,15000,1,1,1,1,1,9,5,3,2,9060,10328,2089,3100,2153,9661,36391
3,Seminar,258,1,0,1,0,0,1,0,10,4,4,0,15636,0,3814,0,0,10914,30364
4,Workshop,27,3,0,1,0,1,1,0,2,1,4,0,1395,0,371,711,0,2966,5443
1,Technical,116,2,1000,1,1,0,1,1,5,2,4,3,6299,2452,1223,0,1761,5979,17714
2,Hackathon,170,7,10000,1,1,0,0,0,10,4,1,1,39230,6305,0,0,0,6901,52436
4,Workshop,79,3,0,1,1,1,0,0,3,1,3,3,3225,1194,0,2056,0,6969,13444
3,Seminar,224,1,0,1,0,0,0,0,11,6,4,0,11316,0,0,0,0,9379,20695
4,Workshop,73,2,0,0,1,0,1,0,4,1,0,1,0,841,678,0,0,7519,9038
3,Seminar,159,3,0,1,1,0,1,0,8,4,3,1,4735,1222,2464,0,0,11239,19660
0,Non-Technical,28,3,3000,1,0,1,0,1,2,1,1,0,500,0,0,1979,4550,7045,14074
2,Hackathon,73,7,0,1,1,0,1,0,4,1,3,1,15334,799,802,0,0,7370,24305
4,Workshop,90,4,0,1,1,1,0,0,5,1,2,3,2532,1504,0,7648,0,7047,18731
0,Non-Technical,170,2,15000,1,1,0,1,1,7,2,3,4,4690,3499,1843,0,3241,8290,21563
2,Hackathon,168,7,10000,1,1,0,0,0,11,3,4,3,7536,7103,0,0,0,12145,26784
1,Technical,165,3,0,1,1,0,0,0,9,2,3,1,6172,851,0,0,0,11710,18733
0,Non-Technical,155,2,0,1,1,1,1,0,6,2,1,4,2320,6041,2322,11558,0,11080,33321
3,Seminar,133,2,0,1,1,1,1,0,5,2,2,2,2969,4744,1514,7357,0,13946,30530
0,Non-Technical,168,2,1000,1,1,1,0,1,12,4,2,4,4605,8345,0,12663,2119,8784,36516
3,Seminar,155,2,0,0,0,0,1,0,6,3,0,0,0,0,2091,0,0,10541,12632
0,Non-Technical,209,3,0,1,0,0,1,0,14,6,1,0,3394,0,2769,0,0,8816,14979
4,Workshop,30,3,0,1,1,0,1,0,2,1,2,4,786,1929,483,0,0,8407,11605
1,Technical,192,1,20000,1,1,0,1,1,10,3,2,1,4416,7481,3044,0,1481,8280,24702
4,Workshop,63,3,0,1,1,1,1,0,6,1,1,5,1103,3260,935,4746,0,7928,17972
1,Technical,90,2,2000,1,0,1,1,1,3,2,1,0,1827,0,1556,7522,1807,6611,19323
1,Technical,49,1,0,1,1,1,0,0,3,1,4,4,2188,2786,0,927,0,5382,11283
1,Technical,23,3,0,1,1,1,1,0,2,1,2,5,839,1758,502,699,0,5156,8954
0,Non-Technical,99,2,0,1,1,0,1,0,8,1,2,4,2843,4908,1282,0,0,9850,18883
0,Non-Technical,246,1,15000,1,1,0,1,1,22,4,3,1,9066,2458,3405,0,4849,7125,26903
0,Non-Technical,194,2,10000,1,0,0,1,1,8,3,3,0,7199,0,2142,0,1626,7031,17998
0,Non-Technical,173,1,5000,0,1,1,0,1,7,4,0,1,0,1402,0,10389,5539,11561,28891
3,Seminar,255,2,0,0,1,0,1,0,11,4,0,1,0,1140,2494,0,0,10475,14109
0,Non-Technical,179,1,3000,1,1,0,1,1,17,5,3,2,5740,2917,2236,0,2013,6114,19020
3,Seminar,90,1,0,1,0,1,1,0,3,2,3,0,3250,0,1136,2086,0,5301,11773
4,Workshop,27,4,0,1,1,1,1,0,2,1,4,5,2988,2005,382,2363,0,9902,17640
3,Seminar,124,2,0,1,0,0,1,0,8,2,4,0,6471,0,1606,0,0,8978,17055
2,Hackathon,51,6,0,1,1,1,0,0,2,1,4,5,6214,2497,0,2873,0,9334,20918
4,Workshop,41,5,0,1,1,0,1,0,2,1,2,1,973,773,603,0,0,5145,7494
1,Technical,51,4,0,1,1,1,1,0,2,1,4,1,5468,570,862,1594,0,4945,13439
0,Non-Technical,104,3,20000,1,0,0,1,1,4,2,3,0,3520,0,1261,0,2686,6209,13676
1,Technical,80,4,0,1,1,0,1,0,3,1,2,3,2188,3217,1183,0,0,7228,13816
2,Hackathon,47,5,0,1,1,1,1,0,2,1,4,2,5327,954,749,877,0,10074,17981
2,Hackathon,163,5,20000,1,0,0,1,1,7,3,3,0,6488,0,2269,0,4240,5576,18573
2,Hackathon,174,6,20000,1,1,0,1,1,12,4,4,1,21221,6227,2122,0,2073,3766,35409
1,Technical,19,4,2000,1,1,1,1,1,2,1,3,1,1783,748,356,981,1488,10155,15511
2,Hackathon,191,4,7000,1,0,1,1,1,11,4,3,0,13967,0,2843,4348,4466,8302,33926
3,Seminar,235,2,0,0,0,1,1,0,16,4,0,0,0,0,2533,11594,0,9565,23692
0,Non-Technical,116,3,7000,1,1,1,1,1,4,1,2,3,2260,4593,1728,7524,2252,7376,25733
0,Non-Technical,227,2,7000,0,0,0,1,1,15,6,0,0,0,0,2800,0,2277,7454,12531
3,Seminar,191,1,0,0,1,0,1,0,7,3,0,4,0,8643,2171,0,0,12082,22896
2,Hackathon,179,5,15000,1,1,0,0,1,16,5,2,5,4139,8627,0,0,3442,15179,31387
0,Non-Technical,103,1,0,1,1,0,1,0,7,1,1,4,1686,2103,1553,0,0,4133,9475
1,Technical,58,3,0,1,0,1,1,0,5,1,3,0,2203,0,658,2840,0,5397,11098
2,Hackathon,76,8,1000,1,1,0,1,0,3,1,3,3,12877,3412,858,0,0,5896,23043
4,Workshop,67,3,0,1,1,0,1,0,3,1,3,2,2472,1886,1106,0,0,7938,13402
0,Non-Technical,126,1,3000,1,1,1,0,1,7,2,4,1,6665,4387,0,6535,4443,8119,30149
3,Seminar,233,2,0,1,1,0,0,0,23,5,2,2,4547,9996,0,0,0,13043,27586
2,Hackathon,178,8,1000,1,1,1,0,1,16,5,4,4,21391,6883,0,13010,1626,11298,54208
2,Hackathon,111,5,0,0,1,0,1,0,4,2,0,5,0,6417,1058,0,0,6646,14121
4,Workshop,55,4,0,1,0,0,0,0,3,1,1,0,648,0,0,0,0,9476,10124
2,Hackathon,58,5,10000,1,0,0,1,1,2,1,1,0,4516,0,934,0,2712,9735,17897
1,Technical,103,1,0,0,1,1,0,0,4,1,0,2,0,3165,0,6043,0,5298,14506
1,Technical,155,1,20000,1,0,1,1,1,6,2,1,0,3682,0,1618,2570,2378,5544,15792
0,Non-Technical,116,1,0,1,1,1,1,0,6,2,4,1,4992,563,1592,8946,0,4799,20892
3,Seminar,203,1,0,1,1,0,0,0,20,4,2,4,5695,7905,0,0,0,5248,18848
2,Hackathon,38,5,3000,1,1,1,0,0,3,1,2,1,3132,988,0,2275,0,5657,12052
1,Technical,49,2,10000,1,1,0,1,1,2,1,3,4,1640,2540,511,0,2918,6051,13660
2,Hackathon,195,8,3000,0,1,1,1,1,19,6,0,1,0,1189,2535,16187,2241,6343,28495
1,Technical,109,1,0,1,0,1,1,0,6,2,3,0,3968,0,1396,2286,0,5159,12809
1,Technical,167,2,0,1,0,0,1,0,9,2,2,0,4021,0,1640,0,0,8474,14135
1,Technical,181,2,15000,1,0,0,0,1,11,4,2,0,6302,0,0,0,1849,13782,21933
1,Technical,67,2,15000,1,1,0,1,0,3,1,1,2,817,677,779,0,0,7789,10062
0,Non-Technical,92,1,1000,1,1,0,1,1,4,2,1,3,1710,3598,1382,0,1834,4825,13349
0,Non-Technical,105,2,5000,1,1,0,1,1,7,2,3,2,4124,804,1083,0,2090,7705,15806
1,Technical,157,2,0,1,1,0,0,0,12,4,3,2,5715,1550,0,0,0,14011,21276
2,Hackathon,68,5,0,1,0,0,1,0,3,1,4,0,7364,0,628,0,0,3995,11987
4,Workshop,46,3,0,1,1,0,1,0,3,1,2,1,1062,651,606,0,0,8038,10357
3,Seminar,274,1,0,1,0,0,0,0,17,7,3,0,12781,0,0,0,0,4470,17251
4,Workshop,43,2,0,1,1,0,0,0,2,1,4,1,2188,591,0,0,0,5738,8517
0,Non-Technical,213,1,15000,1,0,1,1,1,15,4,2,0,5684,0,3116,13929,4045,9833,36607
4,Workshop,81,5,0,1,1,0,0,0,3,2,1,5,6995,4826,0,0,0,7411,19232
1,Technical,102,1,20000,1,0,0,1,1,10,2,3,0,4166,0,1042,0,4921,11276,21405
4,Workshop,67,5,0,1,0,1,0,0,2,1,2,0,1594,0,0,1702,0,3200,6496
1,Technical,121,4,10000,1,1,1,1,1,5,2,3,5,9779,5570,1104,10439,2479,13140,42511
0,Non-Technical,99,2,1000,1,1,1,1,1,5,1,2,4,1936,4606,1609,4969,4062,8905,26087
1,Technical,123,3,0,1,1,0,1,0,5,2,2,1,3763,1462,1747,0,0,8011,14983
0,Non-Technical,188,3,0,1,0,1,1,0,17,3,2,0,5753,0,1794,12486,0,6427,26460
4,Workshop,34,5,0,1,1,0,1,0,2,1,4,2,3816,961,629,0,0,4417,9823
3,Seminar,62,1,0,1,1,1,0,0,3,1,4,4,2778,1095,0,1298,0,4914,10085
4,Workshop,95,4,0,1,1,1,1,0,4,2,1,3,7262,5090,1298,6493,0,7156,27299
1,Technical,164,3,2000,1,0,1,0,1,16,4,3,0,7952,0,0,3695,1881,9998,23526
2,Hackathon,152,4,0,1,1,0,1,0,6,2,1,2,11961,1119,2048,0,0,10281,25409
3,Seminar,228,3,0,1,0,0,0,0,9,5,4,0,10526,0,0,0,0,11307,21833
2,Hackathon,134,5,10000,1,1,0,0,1,6,3,2,4,12796,5298,0,0,2360,4075,24529
1,Technical,169,2,7000,1,0,1,0,1,11,4,1,0,3694,0,0,8255,4644,4056,20649
4,Workshop,25,5,0,1,1,0,1,0,2,1,3,1,2783,457,406,0,0,7302,10948
0,Non-Technical,44,1,5000,1,1,0,1,0,3,1,1,2,751,1979,537,0,0,5346,8613
1,Technical,113,1,1000,1,1,1,1,1,7,3,2,2,3009,1045,1146,2441,3365,10642,21648
2,Hackathon,103,5,20000,1,0,0,1,1,4,2,2,0,1779,0,1559,0,2001,9525,14864
3,Seminar,104,2,0,0,0,0,1,0,4,2,0,0,0,0,1700,0,0,6212,7912
1,Technical,149,3,0,0,0,0,1,0,5,2,0,0,0,0,1775,0,0,7045,8820
2,Hackathon,112,4,10000,1,0,0,1,1,10,3,3,0,9315,0,1680,0,5281,6140,22416
3,Seminar,190,3,0,1,1,0,1,0,11,6,3,5,6374,8843,2288,0,0,8568,26073
4,Workshop,82,5,0,1,1,0,1,0,4,1,3,2,2531,802,1045,0,0,5637,10015
1,Technical,102,2,0,0,1,0,0,0,10,1,0,1,0,549,0,0,0,13746,14295
3,Seminar,164,2,0,0,1,0,1,0,6,3,0,1,0,1567,1973,0,0,11497,15037
0,Non-Technical,156,4,5000,1,1,1,1,0,8,3,3,2,4545,5770,1450,1980,0,9142,22887
4,Workshop,61,4,0,0,0,1,1,0,3,1,0,0,0,0,961,1531,0,4506,6998
1,Technical,81,2,0,0,1,0,1,0,3,1,0,4,0,1527,1295,0,0,5263,8085
0,Non-Technical,220,2,1000,1,0,0,1,1,20,5,3,0,9009,0,1861,0,2387,4435,17692
0,Non-Technical,210,1,3000,1,0,0,0,1,8,6,2,0,5207,0,0,0,2213,7421,14841
3,Seminar,54,2,0,1,1,1,0,0,3,1,1,4,992,2587,0,4039,0,9831,17449
2,Hackathon,153,8,15000,0,1,0,1,1,9,3,0,1,0,1340,2337,0,4077,5570,13324
1,Technical,166,2,20000,1,0,1,0,1,16,3,1,0,2563,0,0,10730,1585,6383,21261
1,Technical,143,4,15000,0,1,0,0,1,6,2,0,2,0,3672,0,0,2274,7379,13325
2,Hackathon,168,5,2000,1,1,1,1,1,7,3,1,1,16753,1294,1979,12403,2303,6211,40943
2,Hackathon,112,5,0,1,1,0,1,0,9,1,2,4,10419,6108,1527,0,0,6518,24572
2,Hackathon,179,4,7000,1,0,1,0,1,9,4,4,0,9536,0,0,14282,1407,4360,29585
4,Workshop,63,5,0,1,1,1,0,0,2,1,1,4,4745,3466,0,1643,0,6870,16724
1,Technical,89,1,7000,1,0,0,1,0,4,1,4,0,4366,0,803,0,0,5133,10302
4,Workshop,74,5,0,1,1,0,0,0,2,2,3,3,6689,1473,0,0,0,7794,15956
2,Hackathon,76,7,15000,1,0,0,0,1,3,1,1,0,4870,0,0,0,2292,6382,13544
2,Hackathon,101,6,0,1,1,0,1,0,5,3,2,4,23435,2010,1495,0,0,11557,38497
2,Hackathon,30,7,15000,1,1,0,0,1,2,1,4,5,4084,2292,0,0,1990,5642,14008
3,Seminar,253,1,0,1,1,0,0,0,25,5,4,3,11503,9765,0,0,0,10658,31926
4,Workshop,78,2,0,1,1,0,1,0,4,2,3,4,2897,4000,1184,0,0,7184,15265
4,Workshop,58,5,0,1,1,1,1,0,2,1,1,3,414,2399,828,4784,0,5503,13928
3,Seminar,67,1,0,1,0,0,1,0,2,1,4,0,3465,0,1059,0,0,7181,11705
1,Technical,28,2,3000,1,1,0,0,0,2,1,3,2,1175,796,0,0,0,4062,6033
3,Seminar,190,3,0,1,1,1,1,0,17,5,2,2,5211,1709,2734,2477,0,10231,22362
0,Non-Technical,41,4,7000,0,1,1,1,1,3,1,0,3,0,1774,461,1305,1810,5557,10907
0,Non-Technical,88,3,1000,1,1,1,1,1,3,1,4,2,3791,799,1312,2107,2466,8216,18691
3,Seminar,231,2,0,1,0,1,1,0,12,6,3,0,6859,0,3104,15773,0,4304,30040
0,Non-Technical,173,1,7000,1,1,1,0,1,12,5,3,3,6795,6829,0,3189,3484,5254,25551
3,Seminar,254,1,0,0,1,0,0,0,16,5,0,2,0,2093,0,0,0,8977,11070
3,Seminar,203,1,0,1,0,0,1,0,9,3,3,0,8918,0,2710,0,0,8668,20296
3,Seminar,129,1,0,1,1,0,0,0,12,2,3,2,4526,1775,0,0,0,10905,17206
0,Non-Technical,144,1,3000,1,0,0,0,1,8,2,3,0,4352,0,0,0,4043,11897,20292
3,Seminar,178,2,0,1,1,0,0,0,9,4,2,4,4738,8022,0,0,0,13042,25802
0,Non-Technical,189,4,10000,1,1,1,1,1,18,4,2,4,17428,6873,2377,15710,1584,12124,56096
0,Non-Technical,148,1,0,1,1,0,1,0,13,4,3,5,5396,7381,1567,0,0,5483,19827
1,Technical,94,4,3000,1,0,0,1,1,8,3,1,0,1318,0,1168,0,4446,9823,16755
0,Non-Technical,67,3,7000,1,0,0,1,1,4,1,1,0,865,0,987,0,5164,10314,17330
1,Technical,133,1,0,1,1,0,1,0,12,2,2,4,3790,7063,1601,0,0,12746,25200
0,Non-Technical,133,1,15000,1,1,1,0,1,6,3,1,3,3223,1697,0,3120,4254,7599,19893
1,Technical,97,2,10000,0,1,1,1,1,4,1,0,3,0,4042,1197,8060,1539,5148,19986
4,Workshop,58,5,0,0,0,1,1,0,4,1,0,0,0,0,868,1077,0,5955,7900
2,Hackathon,139,5,15000,1,1,0,0,0,6,2,4,3,14001,2185,0,0,0,11734,27920
2,Hackathon,122,7,3000,1,1,0,1,0,9,2,4,4,11805,5436,1521,0,0,12448,31210
2,Hackathon,137,4,2000,0,0,0,1,1,5,3,0,0,0,0,2039,0,1748,12069,15856
0,Non-Technical,202,2,7000,1,0,1,0,0,8,3,1,0,3316,0,0,15353,0,8258,26927
2,Hackathon,36,8,0,1,1,0,0,0,2,1,3,5,3103,2056,0,0,0,8887,14046
1,Technical,80,4,1000,1,1,1,1,0,8,2,4,2,7771,3122,871,4839,0,8809,25412
0,Non-Technical,60,3,1000,1,1,0,0,1,4,1,3,5,2328,2705,0,0,5495,11194,21722
0,Non-Technical,145,4,10000,1,1,1,1,1,6,4,3,1,6550,828,1818,11439,4487,6843,31965
2,Hackathon,166,8,3000,1,0,1,0,0,16,3,4,0,42786,0,0,8389,0,6928,58103
1,Technical,128,3,1000,1,1,0,0,0,5,2,1,1,1646,4654,0,0,0,5104,11404
4,Workshop,96,3,0,1,0,0,1,0,8,1,2,0,2795,0,1034,0,0,10145,13974
4,Workshop,58,4,0,1,0,0,1,0,3,1,1,0,4541,0,999,0,0,5860,11400
4,Workshop,26,5,0,1,0,0,1,0,2,1,2,0,920,0,557,0,0,8649,10126
